1,Single Leg Deadlift,Workouts/leghard/singlelegdeadlift_wqc7j2,holding the kettlebell with one hand and reach to the ground bending at the hip whilst also lifting the same side leg straight back.
2,Single Handed Swing,Workouts/leghard/singlehandedswing_h9dpzf,Holding the kettlebell with one hand and using your hips to push the kettlebell forwards.
3,Racked Reverse Lunge,Workouts/leghard/rackedreverselunge_c5xcun,"rack the kettlebell between your bicep and forearm and step the corresponding leg back to lunge down, switch between reps."
4,Double Lunge,Workouts/leghard/doublelunge_zr3trr,"Hold the kettlebell in your chest, step one leg out in front and drop the other knee. then raise back up and repeat the opposite side."
5,Two Handed Squat and Press,Workouts/leghard/twohandedsquatandpress_zia9w2,"Hold the kettlebell in your chest, squat down to the floor, then hoist the kettlebell up above your head"
6,Overhead Walking Lunge,Workouts/leghard/overheadwalkinglunge_rf8yim,"Stand shoulder width apart and hold the kettlebell above your head, then take one leg forward to a lunge, keeping the kettlebell high above your head. Switching between reps."
7,Overhead Squat,Workouts/leghard/overheadsquat_daxgln,"Stand shoulder width apart and hold the kettlebell above your head, then keeping the kettlebell high. squat down."
8,Racked Forward Lunge,Workouts/leghard/rackedforwardlunge_sntc8w,"rack the kettlebell between your bicep and forearm and step the corresponding leg back to lunge down, switch between reps."
9,Lateral Kettlebell Swing,Workouts/leghard/lateralkettlebellswing_pzw0i3,"Holding the kettlebell in one hand, swing it to the side and pass it across the body, twisting in the process.Switching sides between reps  "
10,Goblet Squat,Workouts/leghard/gobletsquat_ye9ajw,"Holding the kettlebell upside down and using the handles at the side to then squat down, keeping the weight in your chest."
11,Lunge with Rotation,Workouts/leghard/lungewithrotation_fcpli2,"Hold the kettlebell into your chest, then  lunge one leg back and twist the body in the opposite leg side.Switch between reps."
12,Side Stepping Swing ,Workouts/leghard/sidesteppingswing_kc8wos,"Holding the kettlebell with both hands, swing the kettlebell between your legs, step from side to side in between each swing."
13,Racked Squat,Workouts/leghard/rackedsquat_u78ast,keep the kettlebell racked in between your bicep and forearm with one hand and squat. switch between reps.
14,Overhead Reverse Lunge ,Workouts/leghard/overheadreverselunge_duifnl,"Stand shoulder width apart and hold the kettlebell above your head, then take one leg back to a lunge, keeping the kettlebell high above your head. Switching between reps."
15,Swing Two hands,Workouts/leghard/swingtwohands_nh4esz,"hold the kettlebell with two hands and swing the kettlebell between your legs, using your hips to push the kettlebell forwards."